('M0P1', 'M0P2') [[30.496181]]
('N176', 'N203') [[16.91038]]
('N118', 'N202') [[16.910372]]
('N53', 'N113') [[16.910336]]
('N12', 'N179') [[16.910225]]
('N84', 'N119') [[16.910172]]
('N132', 'N240') [[16.910168]]
('N10', 'N159') [[16.910124]]
('N230', 'M0P2') [[16.910084]]
('N33', 'N125') [[16.910084]]
('N140', 'N228') [[16.910082]]
('N55', 'N133') [[16.910065]]
('N152', 'N218') [[16.910048]]
('N27', 'N138') [[16.90997]]
('N147', 'N207') [[16.90988]]
('N177', 'N236') [[16.909864]]
('N60', 'N214') [[16.909845]]
('N4', 'N201') [[16.90981]]
('N19', 'N242') [[16.909792]]
('N31', 'N195') [[16.909746]]
('N9', 'N78') [[16.90964]]
('N3', 'N211') [[16.909573]]
('N160', 'N175') [[16.909557]]
('N15', 'N118') [[16.909441]]
('N44', 'N68') [[16.90929]]
('N38', 'N112') [[16.909266]]
('N82', 'N180') [[16.909222]]
('N9', 'N181') [[16.909187]]
('N35', 'N64') [[16.909086]]
('N48', 'N229') [[16.909056]]
('N216', 'N248') [[16.90905]]
('N74', 'N224') [[16.90891]]
('N183', 'N234') [[16.90887]]
('N213', 'N245') [[16.908857]]
('N35', 'N49') [[16.908854]]
('N79', 'N213') [[16.908852]]
('N88', 'N192') [[16.908806]]
('N39', 'N71') [[16.908781]]
('N140', 'N243') [[16.90871]]
('N92', 'N238') [[16.908588]]
('N2', 'N228') [[16.90851]]
('N45', 'N200') [[16.908487]]
('N75', 'N157') [[16.908442]]
('N228', 'N246') [[16.908405]]
('N145', 'N169') [[16.908405]]
('N164', 'N185') [[16.908314]]
('N173', 'N242') [[16.908268]]
('N154', 'N242') [[16.908186]]
('N8', 'N180') [[16.908161]]
('N95', 'N108') [[16.90816]]
('N26', 'N213') [[16.908134]]
('N37', 'N89') [[16.908112]]
('N23', 'N206') [[16.908094]]
('N18', 'N129') [[16.908077]]
('N42', 'N174') [[16.908018]]
('N9', 'N210') [[16.90796]]
('N35', 'N252') [[16.90794]]
('N105', 'N209') [[16.907734]]
('N17', 'N119') [[16.907661]]
('N15', 'N183') [[16.907656]]
('N162', 'N252') [[16.907635]]
('N209', 'N213') [[16.907572]]
('N189', 'N228') [[16.907461]]
('N149', 'N208') [[16.907385]]
('N154', 'N171') [[16.907381]]
('N26', 'N210') [[16.907362]]
('N103', 'N107') [[16.907293]]
('N9', 'N186') [[16.907154]]
('N34', 'N76') [[16.907036]]
('N80', 'N227') [[16.906874]]
('N37', 'N191') [[16.906778]]
('N119', 'N244') [[16.906761]]
('N86', 'N101') [[16.9067]]
('N89', 'N124') [[16.906555]]
('N56', 'N160') [[16.906536]]
('N24', 'N106') [[16.906525]]
('N5', 'N174') [[16.906425]]
('N65', 'N235') [[16.906347]]
('N108', 'N156') [[16.906343]]
('N75', 'N171') [[16.906288]]
('N124', 'N132') [[16.906174]]
('N185', 'N215') [[16.906157]]
('N33', 'N133') [[16.906109]]
('N118', 'N132') [[16.906075]]
('N65', 'N134') [[16.906057]]
('N22', 'N76') [[16.906057]]
('N6', 'N52') [[16.906038]]
('N94', 'N232') [[16.906034]]
('N107', 'N128') [[16.906004]]
('N112', 'N210') [[16.905954]]
('N48', 'N214') [[16.905918]]
('N123', 'N227') [[16.905844]]
('N75', 'N121') [[16.90579]]
('N117', 'N125') [[16.905754]]
('N56', 'N205') [[16.905626]]
('N47', 'N197') [[16.905586]]
('N57', 'N126') [[16.905533]]
('N5', 'N127') [[16.905481]]
('N209', 'N240') [[16.905476]]
('N165', 'N166') [[16.905447]]
('N133', 'N229') [[16.905409]]
('N175', 'N219') [[16.905357]]
('N207', 'N252') [[16.905315]]
('N83', 'N146') [[16.905298]]
('N104', 'N150') [[16.905293]]
('N11', 'N20') [[16.905224]]
('N0', 'N24') [[16.90515]]
('N26', 'N110') [[16.905144]]
('N160', 'N226') [[16.905123]]
('N42', 'N156') [[16.9051]]
('N7', 'N148') [[16.905083]]
('N108', 'N169') [[16.90502]]
('N119', 'N161') [[16.905008]]
('N76', 'N210') [[16.904982]]
('N97', 'N163') [[16.904964]]
('N85', 'N160') [[16.904919]]
('N134', 'N170') [[16.904846]]
('N142', 'N243') [[16.90481]]
('N141', 'N238') [[16.904808]]
('N17', 'N38') [[16.904755]]
('N11', 'N151') [[16.904602]]
('N121', 'N165') [[16.904486]]
('N81', 'N176') [[16.904425]]
('N41', 'N92') [[16.904411]]
('N25', 'N140') [[16.904387]]
('N100', 'N133') [[16.90435]]
('N24', 'N179') [[16.904335]]
('N115', 'N145') [[16.904299]]
('N70', 'N233') [[16.90428]]
('N86', 'N161') [[16.90427]]
('N153', 'N185') [[16.904184]]
('N121', 'N170') [[16.9041]]
('N175', 'N209') [[16.904097]]
('N96', 'N216') [[16.904072]]
('N19', 'N213') [[16.904047]]
('N14', 'N170') [[16.903997]]
('N56', 'N236') [[16.903976]]
('N93', 'N164') [[16.903934]]
('N8', 'N33') [[16.903912]]
('N67', 'N191') [[16.90389]]
('N20', 'N201') [[16.90389]]
('N131', 'N196') [[16.903872]]
('N59', 'N77') [[16.903826]]
('N29', 'N166') [[16.903782]]
('N112', 'N149') [[16.903746]]
('N58', 'N184') [[16.90346]]
('N11', 'N149') [[16.903437]]
('N8', 'N47') [[16.903435]]
('N11', 'N117') [[16.903427]]
('N127', 'N228') [[16.903416]]
('N50', 'N164') [[16.903297]]
('N181', 'N207') [[16.903204]]
('N4', 'N175') [[16.9032]]
('N212', 'N250') [[16.903177]]
('N97', 'N219') [[16.903122]]
('N34', 'N178') [[16.903015]]
('N35', 'N249') [[16.90298]]
('N24', 'N216') [[16.902702]]
('N20', 'N74') [[16.902605]]
('N10', 'N59') [[16.902546]]
('N167', 'N190') [[16.902527]]
('N16', 'N205') [[16.902521]]
('N53', 'N212') [[16.902515]]
('N65', 'N132') [[16.902489]]
('N137', 'N235') [[16.902487]]
('N220', 'N249') [[16.902456]]
('N78', 'N249') [[16.902422]]
('N157', 'N237') [[16.902384]]
('N35', 'N196') [[16.902304]]
('N16', 'N215') [[16.90224]]
('N6', 'N117') [[16.902182]]
('N38', 'N142') [[16.902178]]
('N10', 'N77') [[16.90209]]
('N77', 'N137') [[16.902]]
('N6', 'N173') [[16.901903]]
('N17', 'N157') [[16.901894]]
('N144', 'N248') [[16.90172]]
('N14', 'N253') [[16.901554]]
('N185', 'N202') [[16.901552]]
('N188', 'N210') [[16.90132]]
('N175', 'N223') [[16.901258]]
('N106', 'N110') [[16.901255]]
('N174', 'N193') [[16.901247]]
('N83', 'N245') [[16.901245]]
('N187', 'N206') [[16.901207]]
('N150', 'N218') [[16.901192]]
('N111', 'N186') [[16.901165]]
('N37', 'N100') [[16.90115]]
('N68', 'N91') [[16.901148]]
('N37', 'N223') [[16.90111]]
('N239', 'N248') [[16.901068]]
('N47', 'N216') [[16.901047]]
('N202', 'N247') [[16.900993]]
('N89', 'N217') [[16.900982]]
('N24', 'N78') [[16.900972]]
('N41', 'N79') [[16.900875]]
('N52', 'N146') [[16.900763]]
('N173', 'N211') [[16.900755]]
('N26', 'N116') [[16.900688]]
('N10', 'N85') [[16.900644]]
('N186', 'N205') [[16.900581]]
('N78', 'N143') [[16.900482]]
('N76', 'N104') [[16.900343]]
('N134', 'N246') [[16.900196]]
('N8', 'N84') [[16.900146]]
('N37', 'N162') [[16.900034]]
('N24', 'N65') [[16.900015]]
('N131', 'N189') [[16.899982]]
('N26', 'N30') [[16.89993]]
('N67', 'N98') [[16.899857]]
('N8', 'N161') [[16.89973]]
('N115', 'N125') [[16.89966]]
('N41', 'N150') [[16.899618]]
('N216', 'N236') [[16.89956]]
('N55', 'N161') [[16.89952]]
('N89', 'N119') [[16.899399]]
('N28', 'N230') [[16.899355]]
('N63', 'N75') [[16.899353]]
('N60', 'N173') [[16.899347]]
('N56', 'N140') [[16.89931]]
('N80', 'N124') [[16.899307]]
('N144', 'N205') [[16.899284]]
('N127', 'N196') [[16.899208]]
('N40', 'N187') [[16.89914]]
('N22', 'N77') [[16.899136]]
('N71', 'N233') [[16.899063]]
('N24', 'N90') [[16.898878]]
('N41', 'N200') [[16.898792]]
('N208', 'N249') [[16.898783]]
('N8', 'N211') [[16.898739]]
('N83', 'N84') [[16.898705]]
('N86', 'N153') [[16.8987]]
('N173', 'N187') [[16.898613]]
('N95', 'N184') [[16.89858]]
('N171', 'N245') [[16.898535]]
('N103', 'N106') [[16.89844]]
('N110', 'N237') [[16.898418]]
('N63', 'N154') [[16.898413]]
('N78', 'N241') [[16.898407]]
('N24', 'N171') [[16.898401]]
('N87', 'N93') [[16.898388]]
('N166', 'N228') [[16.89829]]
('N49', 'N163') [[16.898205]]
('N79', 'N92') [[16.898188]]
('N128', 'N132') [[16.898104]]
('N23', 'N132') [[16.898088]]
('N20', 'N86') [[16.89807]]
('N93', 'N138') [[16.898045]]
('N79', 'N238') [[16.898035]]
('N204', 'N220') [[16.89796]]
('N41', 'N76') [[16.897938]]
('N78', 'N250') [[16.897894]]
('N22', 'N114') [[16.897894]]
('N34', 'N199') [[16.897757]]
('N83', 'N168') [[16.897562]]
('N92', 'N218') [[16.897472]]
('N50', 'N134') [[16.8974]]
('N74', 'N167') [[16.897303]]
('N210', 'N212') [[16.8973]]
('N141', 'N208') [[16.897287]]
('N86', 'N135') [[16.897184]]
('N83', 'N246') [[16.897066]]
('N24', 'N191') [[16.89702]]
('N157', 'N244') [[16.897015]]
('N48', 'N168') [[16.89699]]
('N52', 'N204') [[16.896988]]
('N22', 'N193') [[16.896978]]
('N113', 'N170') [[16.89688]]
('N55', 'N138') [[16.896852]]
('N72', 'N131') [[16.896843]]
('N15', 'N103') [[16.896788]]
('N19', 'N206') [[16.89676]]
('N112', 'N238') [[16.896482]]
('N11', 'N60') [[16.896324]]
('N150', 'N202') [[16.896318]]
('N49', 'N79') [[16.896235]]
('N8', 'N149') [[16.896145]]
('N120', 'N186') [[16.896084]]
('N119', 'N243') [[16.896084]]
('N169', 'N193') [[16.896051]]
('N151', 'N200') [[16.896013]]
('N210', 'N225') [[16.895893]]
('N103', 'N200') [[16.895857]]
('N60', 'N121') [[16.895834]]
('N38', 'N98') [[16.895815]]
('N33', 'N71') [[16.89579]]
('N91', 'N207') [[16.895784]]
('N165', 'N210') [[16.895761]]
('N96', 'N104') [[16.89571]]
('N60', 'N83') [[16.895704]]
('N76', 'N203') [[16.895676]]
('N212', 'N214') [[16.895672]]
('N109', 'N251') [[16.89567]]
('N37', 'N163') [[16.895617]]
('N98', 'N192') [[16.8956]]
('N234', 'N243') [[16.895468]]
('N23', 'N91') [[16.895401]]
('N2', 'N107') [[16.8954]]
('N71', 'N186') [[16.895342]]
('N120', 'N183') [[16.895327]]
('N104', 'N226') [[16.895267]]
('N5', 'N9') [[16.895222]]
('N59', 'N97') [[16.895182]]
('N252', 'N253') [[16.895151]]
('N94', 'N117') [[16.895144]]
('N23', 'N217') [[16.895126]]
('N2', 'N166') [[16.895014]]
('N84', 'N223') [[16.894966]]
('N17', 'N96') [[16.894924]]
('N24', 'N97') [[16.894901]]
('N158', 'N242') [[16.894783]]
('N62', 'N245') [[16.89456]]
('N78', 'N198') [[16.89453]]
('N29', 'N183') [[16.894493]]
('N55', 'N131') [[16.894491]]
('N25', 'N44') [[16.894474]]
('N115', 'N116') [[16.894384]]
('N65', 'N248') [[16.894289]]
('N179', 'N213') [[16.894274]]
('N49', 'N155') [[16.894226]]
('N43', 'N96') [[16.89421]]
('N122', 'N165') [[16.894175]]
('N120', 'N151') [[16.894165]]
('N204', 'N229') [[16.894094]]
('N146', 'N149') [[16.894056]]
('N108', 'N245') [[16.89403]]
('N1', 'N154') [[16.89401]]
('N209', 'N241') [[16.893948]]
('N35', 'N207') [[16.893942]]
('N4', 'N55') [[16.893938]]
('N26', 'N241') [[16.893845]]
('N135', 'N177') [[16.893776]]
('N136', 'N253') [[16.893587]]
('N111', 'N201') [[16.893545]]
('N157', 'N245') [[16.893475]]
('N39', 'N80') [[16.893457]]
('N40', 'N236') [[16.893456]]
('N50', 'N89') [[16.89343]]
('N77', 'N162') [[16.893404]]
('N22', 'N131') [[16.893358]]
('N104', 'N190') [[16.893332]]
('N44', 'N198') [[16.89329]]
('N64', 'N128') [[16.893148]]
('N158', 'N160') [[16.893051]]
('N40', 'N244') [[16.893051]]
('N27', 'N100') [[16.892992]]
('N118', 'N166') [[16.892967]]
('N2', 'N110') [[16.892908]]
('N13', 'N166') [[16.892878]]
('N31', 'N212') [[16.892862]]
('N213', 'N235') [[16.892803]]
('N48', 'N172') [[16.89276]]
('N49', 'N238') [[16.89264]]
('N190', 'N210') [[16.892618]]
('N92', 'N133') [[16.892609]]
('N87', 'N128') [[16.892527]]
('N95', 'N115') [[16.892475]]
('N45', 'N252') [[16.89242]]
('N29', 'N84') [[16.89238]]
('N232', 'N240') [[16.892347]]
('N11', 'N72') [[16.89227]]
('N113', 'N188') [[16.892256]]
('N231', 'N238') [[16.892149]]
('N174', 'N251') [[16.89214]]
('N15', 'N21') [[16.89214]]
('N9', 'N171') [[16.892048]]
('N110', 'N120') [[16.891933]]
('N15', 'N114') [[16.891924]]
('N110', 'N223') [[16.891901]]
('N27', 'N49') [[16.891855]]
('N208', 'N235') [[16.8918]]
('N25', 'N204') [[16.891777]]
('N17', 'N227') [[16.891708]]
('N2', 'N13') [[16.891626]]
('N25', 'N194') [[16.891615]]
('N190', 'N215') [[16.89158]]
('N5', 'N29') [[16.891512]]
('N79', 'N203') [[16.891481]]
('N122', 'N176') [[16.891464]]
('N153', 'N226') [[16.891415]]
('N87', 'N243') [[16.891323]]
('N34', 'N206') [[16.891163]]
('N59', 'N178') [[16.891142]]
('N2', 'N243') [[16.890991]]
('N56', 'N113') [[16.89093]]
('N174', 'N186') [[16.890915]]
('N65', 'N179') [[16.890915]]
('N89', 'N165') [[16.890905]]
('N212', 'N223') [[16.89086]]
('N84', 'N240') [[16.89082]]
('N37', 'N41') [[16.890783]]
('N240', 'N250') [[16.890654]]
('N34', 'N63') [[16.890614]]
('N82', 'N169') [[16.890574]]
('N82', 'N138') [[16.890505]]
('N138', 'N161') [[16.890339]]
('N40', 'N147') [[16.890245]]
('N151', 'N227') [[16.890188]]
('N19', 'N36') [[16.890171]]
('N5', 'N144') [[16.890171]]
('N112', 'N142') [[16.89008]]
('N183', 'N226') [[16.890017]]
('N20', 'N228') [[16.889992]]
('N150', 'N228') [[16.889977]]
('N87', 'N213') [[16.889961]]
('N195', 'N231') [[16.88992]]
('N81', 'N195') [[16.889893]]
('N98', 'N219') [[16.889849]]
('N24', 'N235') [[16.889816]]
('N154', 'N220') [[16.88977]]
('N174', 'N210') [[16.889757]]
('N41', 'N58') [[16.889734]]
('N0', 'N175') [[16.889532]]
('N200', 'N234') [[16.889435]]
('N6', 'N80') [[16.889433]]
('N48', 'N82') [[16.88939]]
('N170', 'N211') [[16.889374]]
('N174', 'N223') [[16.889364]]
('N92', 'N104') [[16.889355]]
('N179', 'N238') [[16.889334]]
('N41', 'N145') [[16.889334]]
('N55', 'N91') [[16.889275]]
('N93', 'N166') [[16.889091]]
('N99', 'N123') [[16.88903]]
('N126', 'N170') [[16.888998]]
('N75', 'N77') [[16.88895]]
('N134', 'N169') [[16.888815]]
('N41', 'N222') [[16.888697]]
('N140', 'N210') [[16.888533]]
('N186', 'N202') [[16.888515]]
('N31', 'N49') [[16.888494]]
('N155', 'N214') [[16.888445]]
('N210', 'N249') [[16.888443]]
('N147', 'N181') [[16.888432]]
('N34', 'N146') [[16.888306]]
('N30', 'N185') [[16.888288]]
('N87', 'N246') [[16.888273]]
('N15', 'N111') [[16.888237]]
('N25', 'N175') [[16.888182]]
('N160', 'N220') [[16.88818]]
('N9', 'N235') [[16.888138]]
('N42', 'N131') [[16.888071]]
('N41', 'N98') [[16.887999]]
('N117', 'N188') [[16.887901]]
('N107', 'N125') [[16.887886]]
('N10', 'N101') [[16.887743]]
('N170', 'N234') [[16.88774]]
('N64', 'N202') [[16.88773]]
('N166', 'N235') [[16.887585]]
('N100', 'N136') [[16.887539]]
('N26', 'N57') [[16.887474]]
('N133', 'N176') [[16.887463]]
('N65', 'N135') [[16.887434]]
('N138', 'N246') [[16.887413]]
('N3', 'N83') [[16.887335]]
('N26', 'N33') [[16.88724]]
('N4', 'N78') [[16.8872]]
('N154', 'N222') [[16.887135]]
('N119', 'N166') [[16.88713]]
('N93', 'N210') [[16.88713]]
('N86', 'N122') [[16.88711]]
('N142', 'N178') [[16.887089]]
('N14', 'N249') [[16.887085]]
('N31', 'N134') [[16.88701]]
('N124', 'N186') [[16.887007]]
('N46', 'N158') [[16.886839]]
('N6', 'N60') [[16.886694]]
('N65', 'N240') [[16.886644]]
('N159', 'N209') [[16.886517]]
('N27', 'N89') [[16.886513]]
('N77', 'N244') [[16.886467]]
('N181', 'N194') [[16.88637]]
('N163', 'N230') [[16.886314]]
('N154', 'N218') [[16.886312]]
('N4', 'N40') [[16.886284]]
('N68', 'N124') [[16.886282]]
('N51', 'N169') [[16.886269]]
('N165', 'N232') [[16.886229]]
('N4', 'N71') [[16.886154]]
('N213', 'N246') [[16.886034]]
('N193', 'N244') [[16.88601]]
('N172', 'N224') [[16.885813]]
('N71', 'N133') [[16.885809]]
('N141', 'N205') [[16.885788]]
('N39', 'N60') [[16.88569]]
('N76', 'N153') [[16.885685]]
('N103', 'N135') [[16.885653]]
('N40', 'N164') [[16.885643]]
('N15', 'N189') [[16.885626]]
('N171', 'N251') [[16.885529]]
('N81', 'N122') [[16.885487]]
('N5', 'N45') [[16.88537]]
('N9', 'N182') [[16.885303]]
('N39', 'N140') [[16.88527]]
('N92', 'N148') [[16.885244]]
('N26', 'N191') [[16.885244]]
('N72', 'N125') [[16.885204]]
('N38', 'N90') [[16.885113]]
('N41', 'N133') [[16.885096]]
('N36', 'N132') [[16.884981]]
('N102', 'N227') [[16.884964]]
('N2', 'N18') [[16.884964]]
('N44', 'N154') [[16.884825]]
('N82', 'N160') [[16.884813]]
('N35', 'N213') [[16.884712]]
('N44', 'N120') [[16.884708]]
('N124', 'N244') [[16.88467]]
('N184', 'N233') [[16.884613]]
('N174', 'N175') [[16.884602]]
('N109', 'N244') [[16.884523]]
('N22', 'N199') [[16.88444]]
('N33', 'N148') [[16.884357]]
('N27', 'N66') [[16.884253]]
('N76', 'N92') [[16.884228]]
('N47', 'N58') [[16.88413]]
('N41', 'N160') [[16.88409]]
('N69', 'N113') [[16.884003]]
('N193', 'N203') [[16.883852]]
('N137', 'N161') [[16.883816]]
('N26', 'N119') [[16.883793]]
('N37', 'N193') [[16.88378]]
('N99', 'N249') [[16.883747]]
('N65', 'N155') [[16.883743]]
('N182', 'N236') [[16.883726]]
('N50', 'N210') [[16.883677]]
('N145', 'N208') [[16.883648]]
('N76', 'N189') [[16.883644]]
('N166', 'N211') [[16.883585]]
('N5', 'N103') [[16.883553]]
('N76', 'N115') [[16.88344]]
('N0', 'N117') [[16.8834]]
('N38', 'N237') [[16.88331]]
('N135', 'N181') [[16.883245]]
('N46', 'N166') [[16.883163]]
('N117', 'N193') [[16.88315]]
('N12', 'N116') [[16.883131]]
('N95', 'N169') [[16.883047]]
('N156', 'N200') [[16.88303]]
('N119', 'N120') [[16.883017]]
('N30', 'N81') [[16.882977]]
('N214', 'N225') [[16.882915]]
('N190', 'N193') [[16.882908]]
('N206', 'N244') [[16.88288]]
('N77', 'N187') [[16.882788]]
('N70', 'N79') [[16.882656]]
('N142', 'N215') [[16.882576]]
('N9', 'N207') [[16.882553]]
('N189', 'N237') [[16.882494]]
('N182', 'N188') [[16.882355]]
('N161', 'N208') [[16.882183]]
('N120', 'N203') [[16.882088]]
('N228', 'N234') [[16.882042]]
('N24', 'N99') [[16.882015]]
('N123', 'N131') [[16.881971]]
('N97', 'N207') [[16.881947]]
('N147', 'N231') [[16.88191]]
('N86', 'N119') [[16.881903]]
('N215', 'N241') [[16.881872]]
('N125', 'N177') [[16.881834]]
('N99', 'N195') [[16.881834]]
('N26', 'N205') [[16.88183]]
('N110', 'N142') [[16.881804]]
('N221', 'N243') [[16.881735]]
('N41', 'N64') [[16.881725]]
('N84', 'N133') [[16.881697]]
('N29', 'N181') [[16.881628]]
('N106', 'N167') [[16.881512]]
('N96', 'N165') [[16.881454]]
('N161', 'N186') [[16.881386]]
('N9', 'N86') [[16.88137]]
('N47', 'N172') [[16.881365]]
('N11', 'N162') [[16.881361]]
('N30', 'N71') [[16.88132]]
('N130', 'N244') [[16.881292]]
('N3', 'N132') [[16.881271]]
('N78', 'N205') [[16.881237]]
('N78', 'N251') [[16.881138]]
('N167', 'N189') [[16.881102]]
('N205', 'N238') [[16.88109]]
('N70', 'N206') [[16.881083]]
('N12', 'N38') [[16.88106]]
('N13', 'N155') [[16.881037]]
('N147', 'N218') [[16.88102]]
('N148', 'N170') [[16.880987]]
('N107', 'N139') [[16.88094]]
('N176', 'N253') [[16.880873]]
('N101', 'N229') [[16.880812]]
('N39', 'N62') [[16.880806]]
('N148', 'N230') [[16.880781]]
('N103', 'N150') [[16.880745]]
('N15', 'N48') [[16.880644]]
('N21', 'N228') [[16.880596]]
('N18', 'N85') [[16.880505]]
('N78', 'N213') [[16.88041]]
('N30', 'N190') [[16.880274]]
('N4', 'N30') [[16.880259]]
('N85', 'N225') [[16.880222]]
('N97', 'N198') [[16.880188]]
('N41', 'N242') [[16.880165]]
('N83', 'N145') [[16.8801]]
('N29', 'N85') [[16.880056]]
('N58', 'N163') [[16.879997]]
('N174', 'N184') [[16.879944]]
('N210', 'N251') [[16.879911]]
('N56', 'N135') [[16.879894]]
('N131', 'N158') [[16.879843]]
('N89', 'N138') [[16.879843]]
('N127', 'N179') [[16.879784]]
('N155', 'N211') [[16.879728]]
('N11', 'N236') [[16.879684]]
('N41', 'N154') [[16.879606]]
('N1', 'N215') [[16.879559]]
('N38', 'N212') [[16.879507]]
('N146', 'N233') [[16.879358]]
('N55', 'N126') [[16.879274]]
('N115', 'N134') [[16.879269]]
('N22', 'N78') [[16.879244]]
('N127', 'N164') [[16.879078]]
('N78', 'N184') [[16.878847]]
('N94', 'N167') [[16.87881]]
('N138', 'N214') [[16.878757]]
('N76', 'N98') [[16.878712]]
('N44', 'N178') [[16.878698]]
('N93', 'N115') [[16.87863]]
('N48', 'N111') [[16.878597]]
('N34', 'N210') [[16.878574]]
('N42', 'N204') [[16.878517]]
('N11', 'N129') [[16.87851]]
('N203', 'N253') [[16.878506]]
('N77', 'N151') [[16.878384]]
('N9', 'N93') [[16.878376]]
('N120', 'N148') [[16.878323]]
('N48', 'N126') [[16.8783]]
('N147', 'N171') [[16.87827]]
('N179', 'N210') [[16.878262]]
('N116', 'N181') [[16.878258]]
('N113', 'N122') [[16.878218]]
('N157', 'N201') [[16.87821]]
('N93', 'N226') [[16.87815]]
('N97', 'N168') [[16.878115]]
('N29', 'N80') [[16.878027]]
('N116', 'N226') [[16.877974]]
('N102', 'N147') [[16.877964]]
('N57', 'N189') [[16.877676]]
('N78', 'N160') [[16.877657]]
('N81', 'N196') [[16.87764]]
('N33', 'N247') [[16.877584]]
('N197', 'N225') [[16.87756]]
('N74', 'N227') [[16.87752]]
('N19', 'N116') [[16.877485]]
('N142', 'N212') [[16.877445]]
('N148', 'N178') [[16.8774]]
('N193', 'N243') [[16.877377]]
('N65', 'N66') [[16.877346]]
('N195', 'N213') [[16.877213]]
('N59', 'N116') [[16.877201]]
('N146', 'N182') [[16.877144]]
('N55', 'N110') [[16.87713]]
('N52', 'N116') [[16.877113]]
('N15', 'N208') [[16.87711]]
('N15', 'N42') [[16.877014]]
('N162', 'N170') [[16.877003]]
('N80', 'N99') [[16.876974]]
('N71', 'N221') [[16.87681]]
('N50', 'N95') [[16.876793]]
('N84', 'N110') [[16.876701]]
('N98', 'N109') [[16.876682]]
('N43', 'N131') [[16.87668]]
('N50', 'N229') [[16.876644]]
('N74', 'N247') [[16.876621]]
('N49', 'N84') [[16.876587]]
('N112', 'N124') [[16.876535]]
('N136', 'N186') [[16.876532]]
('N197', 'N217') [[16.876434]]
('N78', 'N150') [[16.876429]]
('N53', 'N90') [[16.876406]]
('N71', 'N156') [[16.876328]]
('N15', 'N146') [[16.87631]]
('N19', 'N194') [[16.876297]]
('N213', 'N241') [[16.87626]]
('N18', 'N243') [[16.87615]]
('N70', 'N159') [[16.876034]]
('N94', 'N213') [[16.876032]]
('N49', 'N166') [[16.876026]]
('N93', 'N97') [[16.87587]]
('N51', 'N125') [[16.875751]]
('N13', 'N233') [[16.875736]]
('N151', 'N243') [[16.875679]]
('N145', 'N250') [[16.875654]]
('N161', 'N215') [[16.87565]]
('N188', 'N236') [[16.87557]]
('N53', 'N188') [[16.875433]]
('N46', 'N115') [[16.875292]]
('N72', 'N204') [[16.87527]]
('N32', 'N104') [[16.875223]]
('N108', 'N222') [[16.875185]]
('N121', 'N156') [[16.875109]]
('N60', 'N79') [[16.875103]]
('N167', 'N191') [[16.87507]]
('N90', 'N102') [[16.87506]]
('N141', 'N179') [[16.874874]]
('N160', 'N223') [[16.874865]]
('N159', 'N212') [[16.87482]]
('N172', 'N199') [[16.874783]]
('N67', 'N154') [[16.874744]]
('N26', 'N203') [[16.874727]]
('N56', 'N132') [[16.874634]]
('N18', 'N64') [[16.874605]]
('N115', 'N180') [[16.87453]]
('N102', 'N113') [[16.874332]]
('N89', 'N248') [[16.874245]]
('N148', 'N219') [[16.874134]]
('N157', 'N177') [[16.874111]]
('N20', 'N171') [[16.874096]]
('N206', 'N231') [[16.874084]]
('N210', 'N217') [[16.87405]]
('N171', 'N243') [[16.873962]]
('N246', 'N248') [[16.873955]]
('N25', 'N136') [[16.873892]]
('N10', 'N100') [[16.873833]]
('N62', 'N188') [[16.873777]]
('N37', 'N135') [[16.873632]]
('N64', 'N108') [[16.873547]]
('N109', 'N154') [[16.873535]]
('N66', 'N249') [[16.873518]]
('N40', 'N41') [[16.873453]]
('N27', 'N247') [[16.873453]]
('N181', 'N183') [[16.873236]]
('N107', 'N126') [[16.873226]]
('N38', 'N100') [[16.873184]]
('N91', 'N106') [[16.873158]]
('N19', 'N221') [[16.873085]]
('N14', 'N236') [[16.873066]]
('N202', 'N239') [[16.87305]]
('N225', 'N242') [[16.873037]]
('N148', 'N205') [[16.8729]]
('N196', 'N223') [[16.87285]]
('N131', 'N176') [[16.872818]]
('N138', 'N210') [[16.8728]]
('N101', 'N244') [[16.872793]]
('N77', 'N134') [[16.872759]]
('N62', 'N201') [[16.872654]]
('N37', 'N212') [[16.872631]]
('N202', 'N222') [[16.872608]]
('N29', 'N243') [[16.872593]]
('N45', 'N239') [[16.872583]]
('N116', 'N175') [[16.872393]]
('N203', 'N208') [[16.872362]]
('N107', 'N174') [[16.872356]]
('N116', 'N230') [[16.872341]]
('N128', 'N252') [[16.872284]]
('N148', 'N223') [[16.872272]]
('N148', 'N188') [[16.872267]]
('N68', 'N153') [[16.872255]]
('N77', 'N235') [[16.872192]]
('N8', 'N163') [[16.872189]]
('N23', 'N210') [[16.872168]]
('N73', 'N248') [[16.872154]]
('N83', 'N163') [[16.872087]]
('N47', 'N166') [[16.872044]]
('N85', 'N110') [[16.872036]]
('N0', 'N31') [[16.8719]]
('N141', 'N171') [[16.871866]]
('N130', 'N245') [[16.871773]]
('N103', 'N164') [[16.871763]]
('N92', 'N229') [[16.871738]]
('N100', 'N243') [[16.871645]]
('N157', 'N175') [[16.87161]]
('N192', 'N244') [[16.871607]]
('N78', 'N100') [[16.871492]]
('N30', 'N80') [[16.871353]]
('N213', 'N228') [[16.87131]]
('N173', 'N249') [[16.871273]]
('N114', 'N170') [[16.87122]]
('N83', 'N115') [[16.871191]]
('N40', 'N160') [[16.871162]]
('N45', 'N162') [[16.871134]]
