('M0P1', 'M0P2') [[30.496181]]
('N40', 'N88') [[18.550354]]
('N3', 'N172') [[18.548334]]
('N74', 'N143') [[18.548288]]
('N59', 'N152') [[18.547167]]
('N54', 'N68') [[18.546003]]
('N73', 'N244') [[18.545671]]
('N88', 'N216') [[18.544546]]
('N92', 'N106') [[18.544493]]
('N25', 'N67') [[18.543936]]
('N72', 'N129') [[18.543663]]
('N88', 'N243') [[18.543217]]
('N168', 'N239') [[18.54305]]
('N14', 'N177') [[18.540476]]
('N82', 'N196') [[18.537878]]
('N54', 'N245') [[18.53709]]
('N53', 'N54') [[18.53646]]
('N68', 'N114') [[18.53634]]
('N59', 'N198') [[18.535437]]
('N158', 'N251') [[18.534472]]
('N61', 'N231') [[18.534359]]
('N39', 'N173') [[18.534258]]
('N180', 'N201') [[18.534166]]
('N67', 'N105') [[18.533987]]
('N19', 'N198') [[18.533234]]
('N73', 'N191') [[18.532894]]
('N25', 'N54') [[18.532314]]
('N72', 'N105') [[18.532248]]
('N53', 'N180') [[18.532135]]
('N19', 'N233') [[18.531986]]
('N32', 'N158') [[18.52995]]
('N54', 'N230') [[18.529654]]
('N158', 'N241') [[18.528664]]
('N82', 'N172') [[18.528023]]
('N179', 'N230') [[18.527971]]
('N39', 'N54') [[18.527319]]
('N51', 'N232') [[18.527153]]
('N73', 'N94') [[18.526863]]
('N152', 'N177') [[18.526844]]
('N73', 'N126') [[18.52667]]
('N168', 'N182') [[18.52568]]
('N7', 'N181') [[18.525644]]
('N59', 'N88') [[18.525612]]
('N171', 'N172') [[18.52527]]
('N73', 'N164') [[18.52413]]
('N59', 'N177') [[18.524078]]
('N69', 'N230') [[18.52403]]
('N21', 'N161') [[18.523699]]
('N151', 'N216') [[18.523415]]
('N196', 'N250') [[18.522793]]
('N12', 'N198') [[18.522709]]
('N139', 'N152') [[18.522495]]
('N143', 'N196') [[18.522131]]
('N75', 'N231') [[18.521646]]
('N74', 'N186') [[18.521616]]
('N137', 'N173') [[18.521172]]
('N23', 'N181') [[18.520624]]
('N139', 'N216') [[18.520338]]
('N11', 'N114') [[18.516565]]
('N123', 'N229') [[18.515516]]
('N73', 'N176') [[18.514797]]
('N105', 'N115') [[18.51401]]
('N105', 'N200') [[18.513874]]
('N134', 'N230') [[18.513851]]
('N68', 'N102') [[18.513607]]
('N172', 'N173') [[18.513212]]
('N54', 'N151') [[18.512985]]
('N143', 'N247') [[18.512665]]
('N32', 'N198') [[18.512344]]
('N106', 'N231') [[18.512247]]
('N118', 'N187') [[18.510283]]
('N75', 'N152') [[18.50929]]
('N56', 'N191') [[18.508772]]
('N143', 'N233') [[18.508488]]
('N143', 'N176') [[18.508265]]
('N42', 'N73') [[18.507782]]
('N143', 'N231') [[18.506319]]
('N19', 'N231') [[18.505888]]
('N61', 'N250') [[18.505695]]
('N182', 'N196') [[18.505589]]
('N79', 'N201') [[18.505072]]
('N68', 'N241') [[18.504967]]
('N88', 'N158') [[18.504662]]
