('M0P1', 'M0P2') [[39.81325]]
('N27', 'N58') [[18.515102]]
('N176', 'N198') [[18.514137]]
('N144', 'N167') [[18.513908]]
('N45', 'N115') [[18.513906]]
('N3', 'N130') [[18.513868]]
('N8', 'N130') [[18.513613]]
('N103', 'N231') [[18.513227]]
('N3', 'N113') [[18.511566]]
('N96', 'N113') [[18.51153]]
('N15', 'N117') [[18.511356]]
('N33', 'N85') [[18.510462]]
('N24', 'N219') [[18.510227]]
('N75', 'N191') [[18.508127]]
('N200', 'N233') [[18.507406]]
('N11', 'N180') [[18.507175]]
('N131', 'N229') [[18.50656]]
('N100', 'N113') [[18.506218]]
('N3', 'N72') [[18.505863]]
('N115', 'N188') [[18.50581]]
('N167', 'N232') [[18.5057]]
('N16', 'N176') [[18.505281]]
('N79', 'N233') [[18.505098]]
('N21', 'N33') [[18.504627]]
('N73', 'N209') [[18.504353]]
('N174', 'N176') [[18.503756]]
('N17', 'N149') [[18.503632]]
('N204', 'M0P2') [[18.503109]]
('N14', 'N21') [[18.503036]]
('N75', 'N148') [[18.502905]]
('N33', 'N242') [[18.502748]]
('N11', 'N159') [[18.502047]]
('N138', 'N249') [[18.501902]]
('N162', 'N253') [[18.501814]]
('N66', 'N253') [[18.501617]]
('N131', 'N204') [[18.501368]]
('N103', 'N214') [[18.500639]]
('N109', 'N143') [[18.5003]]
('N45', 'N219') [[18.500149]]
('N106', 'N196') [[18.499931]]
('N113', 'N176') [[18.499594]]
('N148', 'N176') [[18.499388]]
('N209', 'N253') [[18.499182]]
('N26', 'N102') [[18.499092]]
('N16', 'N18') [[18.498951]]
('N8', 'N200') [[18.495665]]
('N110', 'N209') [[18.494535]]
('N18', 'N137') [[18.494505]]
('N16', 'N249') [[18.49296]]
('N199', 'N222') [[18.492142]]
('N143', 'N161') [[18.491972]]
('N188', 'N200') [[18.49101]]
('N32', 'N167') [[18.489899]]
('N22', 'N32') [[18.489622]]
('N45', 'N198') [[18.488523]]
('N68', 'N232') [[18.488522]]
('N11', 'N16') [[18.48802]]
('N175', 'N176') [[18.487507]]
('N131', 'N215') [[18.487078]]
('N113', 'N200') [[18.486149]]
('N113', 'N160') [[18.485365]]
('N102', 'N176') [[18.485308]]
('N14', 'N143') [[18.48527]]
('N162', 'N188') [[18.485126]]
('N11', 'N145') [[18.485067]]
('N11', 'N162') [[18.484808]]
('N79', 'N113') [[18.484491]]
('N95', 'N219') [[18.48343]]
('N20', 'N176') [[18.483242]]
('N72', 'N166') [[18.482788]]
('N11', 'N29') [[18.482738]]
('N27', 'N113') [[18.482653]]
('N32', 'N144') [[18.48171]]
('N113', 'N130') [[18.480423]]
('N123', 'N143') [[18.480347]]
('N85', 'N89') [[18.480282]]
('N144', 'N150') [[18.480146]]
('N17', 'N235') [[18.479998]]
('N173', 'N253') [[18.479574]]
('N48', 'N162') [[18.478285]]
('N11', 'N232') [[18.478226]]
('N16', 'N100') [[18.477648]]
('N27', 'N117') [[18.477467]]
('N54', 'N75') [[18.477127]]
('N115', 'N150') [[18.477121]]
('N21', 'N232') [[18.476967]]
('N55', 'N198') [[18.47685]]
('N62', 'N232') [[18.476002]]
('N11', 'N203') [[18.475292]]
('N7', 'N58') [[18.474962]]
('N43', 'N253') [[18.47365]]
('N76', 'N198') [[18.472164]]
('N56', 'N176') [[18.472023]]
('N96', 'N199') [[18.472006]]
('N16', 'N185') [[18.471592]]
('N215', 'N232') [[18.471056]]
('N15', 'N35') [[18.470652]]
('N17', 'N20') [[18.469614]]
('N106', 'N113') [[18.469465]]
('N32', 'N242') [[18.469172]]
('N79', 'N198') [[18.468714]]
('N113', 'N232') [[18.4683]]
('N54', 'N162') [[18.468082]]
('N32', 'N106') [[18.467861]]
('N130', 'N253') [[18.467752]]
('N58', 'N126') [[18.46727]]
('N17', 'N91') [[18.466972]]
('N100', 'N125') [[18.466845]]
('N186', 'N249') [[18.466599]]
('N117', 'N131') [[18.46658]]
('N15', 'N219') [[18.466396]]
('N32', 'N199') [[18.46617]]
('N106', 'N176') [[18.46591]]
('N26', 'N217') [[18.465763]]
('N15', 'N148') [[18.465204]]
('N100', 'N160') [[18.46516]]
('N15', 'N110') [[18.464972]]
('N33', 'N117') [[18.464697]]
('N18', 'N114') [[18.464191]]
('N15', 'N29') [[18.463564]]
('N76', 'N91') [[18.463526]]
('N33', 'N45') [[18.463007]]
('N103', 'N176') [[18.462305]]
('N45', 'N96') [[18.462229]]
('N18', 'N72') [[18.462229]]
('N18', 'N55') [[18.461548]]
('N35', 'N91') [[18.461538]]
('N26', 'N151') [[18.461487]]
('N63', 'N91') [[18.46135]]
('N22', 'N26') [[18.461317]]
('N24', 'N233') [[18.460825]]
('N125', 'N153') [[18.460167]]
('N60', 'N126') [[18.459932]]
('N17', 'N39') [[18.459127]]
('N45', 'N130') [[18.458555]]
('N219', 'N222') [[18.458363]]
('N1', 'N106') [[18.458023]]
('N149', 'N232') [[18.457289]]
('N81', 'N126') [[18.45711]]
('N166', 'N198') [[18.456543]]
('N130', 'N150') [[18.456537]]
('N27', 'N153') [[18.456034]]
('N161', 'N219') [[18.454515]]
('N188', 'N204') [[18.454504]]
('N126', 'N161') [[18.454273]]
('N183', 'N253') [[18.453756]]
('N35', 'N232') [[18.452944]]
('N8', 'N17') [[18.452843]]
('N16', 'N79') [[18.452692]]
('N202', 'N232') [[18.451813]]
('N91', 'N183') [[18.45121]]
